a2ps,
a52dec,
abook,
acct,
ace,
acedb,
acpica-unix,
admesh,
aolserver4,
apcupsd,
aqsis,
adplay,
adplug,
advancecomp,
aide,
amanda,
antiword,
anubis,
apache2,
apg,
apr,
aranym,
argtable2,
argyll,
arp-scan,
asymptote,
atomicparsley,
augeas,
autoproject,
autotrace,
barcode,
baycomepp,
baycomusb,
bc,
bdfresize,
binfmt-support,
bing,
bacula,
binutils,
binutils-h8300-hms,
biosquid,
birthday,
bison,
bogofilter,
boxes,
burp,
busybox,
cabextract,
cableswig,
catdvi,
cbflib,
cbmc,
ccrypt,
cctools,
cdcd,
cadaver,
cfengine2,
cfengine3,
cflow,
charybdis,
chasen,
chromium-browser,
clamav,
clustalo,
chordii,
cloop,
concordance,
contextfree,
coreutils,
cpio,
cpmtools,
cproto,
cpu,
cronolog,
csmash,
ctsim,
cvs,
cyrus-sasl2,
dact,
daemon,
db,
db4.7,
db4.8,
dc3dd,
dealer,
cdrkit,
gnu-fdisk,
deskmenu,
dico,
dict-gcide,
dictd,
diction,
dietlibc,
diffstat,
diffutils,
dircproxy,
directvnc,
dns2tcp,
dnstracer,
donkey,
doodle,
doscan,
dpkg,
drc,
dvhtool,
easyh10,
eb,
eblook,
ebnetd,
ecl,
eglibc,
ekg,
ekg2,
elilo,
emacs23,
enigma,
enscript,
enum,
epcr,
esorex,
esound,
exiftags,
ezstream,
f2c,
faad2,
fastdep,
fastjar,
febootstrap,
feh,
fetchmail,
figlet,
findutils,
flac,
flip,
fcrackzip,
freedink,
freedroid,
freepops,
freewnn,
fribidi,
freedroidrpg,
freetds,
frotz,
fuse-emulator,
fuzz,
fwknop,
fyre,
ganglia,
gawk,
gcc-h8300-hms,
gccxml,
gcl,
gcompris,
gdb,
gdbm,
gdcm,
gengetopt,
genparse,
gesftpserver,
gettext,
ftplib,
gforth,
glfw,
gliv,
global,
gmediaserver,
gmime,
gnokii,
gnu-smalltalk,
gnugo,
gnuit,
gnulib,
gnunet,
gnuradio,
gnuserv,
gopher,
gozer,
gperf,
gpivtools,
gputils,
grep,
grepcidr,
gridengine,
grisbi,
groff,
grub,
grub2,
gsasl,
gsmlib,
gss,
gtkwave,
gtypist,
gurlchecker,
gv,
gvpe,
gzip,
hamlib,
hashcash,
heimdal,
heirloom-mailx,
hello,
hello-debhelper,
hercules,
heroes,
hexcurse,
hivex,
hoz,
hp2xx,
httperf,
httptunnel,
hugin,
hylafax,
icedove,
iceweasel,
icmake,
icon,
icoutils,
id-utils,
id3lib3.8.3,
ifile,
ike-scan,
imwheel,
inetutils,
inn,
ipgrab,
ipv6calc,
ipxe,
ircd-hybrid,
ircd-ratbox,
jbig2dec,
jclassinfo,
john,
jpeginfo,
jpegoptim,
jzip,
kakasi,
kbuild,
kfreebsd-8,
kfreebsd-9,
kimwitu++,
klibc,
krb5,
krb5-appl,
ksh,
labrea,
jwhois,
lcdproc,
lcgdm,
lcms,
le,
lftp,
libalberta2,
libcaca,
libcdio,
libcommoncpp2,
libdca,
libdmtx,
libdvdnav,
libdvdread,
libetpan,
libextractor,
libgii,
libguestfs,
libidn,
liblouis,
liblouisutdml,
liblouisxml,
libmng,
libofx,
libpano13,
libpcap,
libpgm,
libtasn1-3,
libtext-bibtex-perl,
libtheora,
libtk-img,
libzip,
liece,
lifelines,
linux,
linux86,
linuxdoc-tools,
logjam,
logtool,
lprng,
lrzsz,
lsh-utils,
lua-apr,
luatex,
lutefisk,
lyskom-server,
m4,
madplay,
mailagent,
mailfilter,
mailutils,
make-dfsg,
makebootfat,
man-db,
matanza,
lsmbox,
mboxgrep,
metapixel,
microdc2,
min12xxw,
mingw-w64,
minicom,
mlocate,
moc,
modules,
mp3blaster,
mp3info,
mp4h,
mpack,
mikmod,
mpeg2dec,
mpegdemux,
mtr,
multitee,
munge,
nagios-plugins,
nam,
namazu2,
nap,
nast,
nc6,
ncpfs,
ncurses-hexedit,
net-snmp,
netcf,
netdiag,
netpbm-free,
netsend,
nettle,
newlib,
netrw,
nis,
nmap,
normalize-audio,
ntop,
ntp,
numdiff,
octave,
oggvideotools,
oidentd,
nspr,
open-cobol,
openarena,
openbabel,
openjpeg,
openldap,
openssh,
openswan,
oroborus,
owfs,
p0f,
paperkey,
parser,
parted,
patch,
patchutils,
pciutils,
pclock,
pgbouncer,
photopc,
php5,
pidgin,
player,
plotutils,
pmccabe,
polybori,
pork,
portabase,
poster,
postgis,
postgresql-8.4,
postgresql-9.1,
potrace,
pptpd,
proftpd-dfsg,
pspp,
ptop,
pv,
pxe-kexec,
python2.6,
python2.7,
python3.2,
qiv,
qprint,
qt4-x11,
quagga,
raptor,
raptor2,
rasqal,
ratfor,
ratpoison,
rc,
rcs,
rcs-blame,
quarry,
rats,
realtimebattle,
recode,
recutils,
redir,
redland,
regina-rexx,
remake,
remctl,
renameutils,
rinetd,
rplay,
rrdcollect,
rrep,
rubberband,
rush,
s390-tools,
sane-backends-extras,
sane-frontends,
sary,
sane-backends,
scmxx,
scrot,
sdcv,
sed,
sfftobmp,
sflphone,
shapetools,
sharutils,
shishi,
siege,
sitecopy,
slashem,
slurm-llnl,
sma,
smartmontools,
snort,
socks4-server,
sofia-sip,
soundmodem,
source-highlight,
spamassassin,
spandsp,
speex,
spell,
squid3,
ssed,
survex,
spellutils,
squid,
swig2.0,
sxid,
syrep,
syslinux,
sysnews,
tcpdump,
texinfo,
texlive-base,
tar,
therion,
thrust,
tiff,
tiff3,
time,
timidity,
tinc,
tmpreaper,
tmux,
tofrodos,
transcode,
transfig,
trickle,
trueprint,
ttfautohint,
tthsum,
uclibc,
udftools,
unac,
units,
uptimed,
util-linux,
uucp,
vigor,
virtualbox,
visualboyadvance,
vite,
vlc,
vnc4,
vorbis-tools,
vorbisgain,
vxl,
warmux,
wdiff,
wget,
wine,
wine-gecko-1.4,
wise,
wmnet,
wmpinboard,
wp2x,
wput,
wuzzah,
wv,
wyg,
virtuoso-opensource,
x264,
xbmc,
xdelta,
xine-ui,
xmp,
xorp,
xplanet,
texlive-bin,
xsane,
xscorch,
xtermcontrol,
xz-utils,
xzgv,
xzip,
yafc,
yiyantang,
z80asm,
z88dk,
zile,
zimpl,
yagiuda,
